_id,ICO,URI,Nazov,Dátum poslednej aktualizácie: 30.6.2019
1,332674,ico://sk/00332674,"Obec Petrovce, okres Vranov nad Topľou",
2,30232295,ico://sk/30232295_71406,Fakulta politických vied a  medzinárodných vzťahov Univerzity Mateja Bela v Banskej Bystrici,
3,399418,ico://sk/00399418_10001,Materská škola,
4,308161,ico://sk/00308161,Obec Lovce,
5,327727,ico://sk/00327727_1,Základná škola - Ruská Nová Ves,
6,305651,ico://sk/00305651,Obec Oľdza,
7,36126977,ico://sk/36126977,"Základná škola Malonecpalská 37, Prievidza",
8,30798841,ico://sk/30798841_3206,Centrum právnej pomoci - Kancelária Liptovský Mikuláš,
9,36063967,ico://sk/36063967,"Základná umelecká škola v Malackách, Záhorácka 1918, Malacky",
10,31786987,ico://sk/31786987,"Materská škola, Prešovská 28, Bratislava",
11,31263178,ico://sk/31263178,Špeciálna základná škola Rovníková Košice,
12,17070058,ico://sk/17070058,Základná umelecká škola Medzev,
13,42069866,ico://sk/42069866,Stredná odborná škola obchodu a služieb Liptovský Mikuláš,
14,632783,ico://sk/00632783,Centrum sociálnych služieb ORAVA,
15,800295,ico://sk/00800295_2,Základná škola Pusté Sady,
16,318787,ico://sk/00318787,Obec Hrnčiarska Ves,
17,738379,ico://sk/00738379,Ústav na výkon trestu odňatia slobody Ružomberok,
18,31787011,ico://sk/31787011,"Materská škola Piesočná 2, Bratislava",
19,350656,ico://sk/00350656,Technické služby mesta Nové Mesto nad Váhom,
20,42081025,ico://sk/42081025,"JUDr. Zuzana Mercová, notárka",
21,37812319,ico://sk/37812319,"Základná škola s materskou školou, Horelica, Čadca",
22,162922,ico://sk/00162922,"Odborné učilište internátne, Hviezdoslavova 668, Ladce",
23,304808,ico://sk/00304808,"Obec Jablonové, okres Malacky",
24,308072,ico://sk/00308072_10001,Obec Jelenec - matričný úrad,
25,48485357,ico://sk/48485357_00059,"Správca - Bírošová Gabriela, JUDr.",
26,17060010,ico://sk/17060010,Základná škola Štefana Šmálika Tvrdošín,
27,36144843,ico://sk/36144843_10001,ceprvpsdk,
28,48485357,ico://sk/48485357_00417,"Správca - Brláš Ondrej, Mgr.",
29,37801571,ico://sk/37801571,"JUDr. Jaroslav Kabáč ml., exekútor",
30,163121,ico://sk/00163121,Základná škola internátna pre žiakov s narušenou komunikačnou schopnosťou Jamník,
31,35679565,ico://sk/35679565,Domov dôchodcov a domov sociálnych služieb Tisovec,
32,42108071,ico://sk/42108071,"Obecné kultúrne centrum, Smižany",
33,42159717,ico://sk/42159717,Mestská knižnica Skalica,
34,307700,ico://sk/00307700,Obec Žemberovce,
35,31755194,ico://sk/31755194_192,"Krajský pamiatkový úrad Prešov, pracovisko Poprad",
36,151866,ico://sk/00151866_10117,Okresný úrad Myjava,
37,48485357,ico://sk/48485357_00217,"Správca - Zvarová Jarmila, JUDr.",
38,37906399,ico://sk/37906399,Základná škola s materskou školou Divinka,
39,648981,ico://sk/00648981,Obec Lietavská Lúčka,
40,332933,ico://sk/00332933,Mesto Vranov nad Topľou,
41,42296056,ico://sk/42296056,"JUDr. Daniela Jašeková, notár",
42,48485357,ico://sk/48485357_00087,"Správca - Kmeťová Oľga, JUDr.",
43,309494,ico://sk/00309494_10001,Základná škola,
